"","pid","task","resp","start","version","parA","rt","time_elapsed","sid","block","jitterX","jitterY","sub","trial","y","S","J"
"151","55a5f19bfdf99b28b5340d00","zol",-0.43,-0.67,2,NA,8000,2064675,"64e50290df62995c3043a679",1,26,-26,2,1,0.43,1,5
"152","55a5f19bfdf99b28b5340d00","zol",-0.78,0.38,2,NA,6486,2071167,"64e50290df62995c3043a679",1,21,-1,2,2,0.78,1,5
"153","55a5f19bfdf99b28b5340d00","zol",-0.42,0.02,2,NA,8000,2079179,"64e50290df62995c3043a679",1,-28,-24,2,3,0.42,1,5
"154","55a5f19bfdf99b28b5340d00","zol",-0.36,-0.14,2,NA,7695,2086896,"64e50290df62995c3043a679",1,-28,-10,2,4,0.36,1,5
"155","55a5f19bfdf99b28b5340d00","zol",-0.32,-0.18,2,NA,8000,2094908,"64e50290df62995c3043a679",1,29,-6,2,5,0.32,1,5
"156","55a5f19bfdf99b28b5340d00","zol",-0.14,-0.36,2,NA,8000,2102919,"64e50290df62995c3043a679",1,20,1,2,6,0.14,1,5
"157","55a5f19bfdf99b28b5340d00","zol",-0.35,-0.55,2,NA,7533,2110474,"64e50290df62995c3043a679",1,-3,4,2,7,0.35,1,5
"158","55a5f19bfdf99b28b5340d00","zol",-0.58,0.48,2,NA,8000,2118490,"64e50290df62995c3043a679",1,15,-25,2,8,0.58,1,5
"159","55a5f19bfdf99b28b5340d00","zol",-0.8,0.2,2,NA,8000,2126496,"64e50290df62995c3043a679",1,14,-6,2,9,0.8,1,5
"160","55a5f19bfdf99b28b5340d00","zol",-0.46,-0.04,2,NA,8000,2134507,"64e50290df62995c3043a679",1,-18,-17,2,10,0.46,1,5
"161","55a5f19bfdf99b28b5340d00","zol",-0.67,-0.23,2,NA,8000,2142520,"64e50290df62995c3043a679",1,-11,17,2,11,0.67,1,5
"162","55a5f19bfdf99b28b5340d00","zol",-0.45,-0.55,2,NA,6837,2149363,"64e50290df62995c3043a679",1,-23,25,2,12,0.45,1,5
"163","55a5f19bfdf99b28b5340d00","zol",-0.45,0.75,2,NA,8000,2157375,"64e50290df62995c3043a679",1,4,-4,2,13,0.45,1,5
"164","55a5f19bfdf99b28b5340d00","zol",-0.24,0.04,2,NA,6289,2163687,"64e50290df62995c3043a679",1,-7,-24,2,14,0.24,1,5
"165","55a5f19bfdf99b28b5340d00","zol",-0.36,-0.14,2,NA,6968,2170673,"64e50290df62995c3043a679",1,-4,-18,2,15,0.36,1,5
"166","55a5f19bfdf99b28b5340d00","pz",26,27,2,26,6746,2255901,"64e50290df62995c3043a679",1,NA,NA,2,1,0,1,4
