"pid","task","resp","start","version","parA","rt","time_elapsed","sid","block","jitterX","jitterY","sub","trial","y"
"55a2fa33fdf99b073cd94947","br",-11,14,1,217,8000,153501,"64e50b81e019272f8535c9c0",1,-8,24,1,1,0.0506912442396313
"55a2fa33fdf99b073cd94947","br",25,25,1,234,248,153753,"64e50b81e019272f8535c9c0",1,-30,8,1,2,-0.106837606837607
"55a2fa33fdf99b073cd94947","br",-16,20,1,250,6444,160201,"64e50b81e019272f8535c9c0",1,-9,21,1,3,0.064
"55a2fa33fdf99b073cd94947","br",-11,-13,1,251,5289,165497,"64e50b81e019272f8535c9c0",1,-20,-18,1,4,0.0438247011952191
"55a2fa33fdf99b073cd94947","br",-9,-4,1,207,6132,171634,"64e50b81e019272f8535c9c0",1,25,21,1,5,0.0434782608695652
"55a2fa33fdf99b073cd94947","br",-10,-11,1,276,6019,177658,"64e50b81e019272f8535c9c0",1,-29,-11,1,6,0.036231884057971
"55a2fa33fdf99b073cd94947","br",-13,-13,1,245,4793,182457,"64e50b81e019272f8535c9c0",1,-3,-25,1,7,0.0530612244897959
"55a2fa33fdf99b073cd94947","br",-12,-4,1,245,8000,190462,"64e50b81e019272f8535c9c0",1,27,-29,1,8,0.0489795918367347
"55a2fa33fdf99b073cd94947","br",-10,-25,1,252,7214,197682,"64e50b81e019272f8535c9c0",1,4,-7,1,9,0.0396825396825397
"55a2fa33fdf99b073cd94947","br",-11,16,1,284,6739,204426,"64e50b81e019272f8535c9c0",1,-19,30,1,10,0.0387323943661972
"55a2fa33fdf99b073cd94947","br",-8,-15,1,220,5233,209666,"64e50b81e019272f8535c9c0",1,-5,10,1,11,0.0363636363636364
"55a2fa33fdf99b073cd94947","br",-8,-16,1,210,5612,215282,"64e50b81e019272f8535c9c0",1,-21,-22,1,12,0.0380952380952381
"55a2fa33fdf99b073cd94947","br",-12,10,1,232,8000,223285,"64e50b81e019272f8535c9c0",1,18,5,1,13,0.0517241379310345
"55a2fa33fdf99b073cd94947","br",-22,-22,1,229,0,223290,"64e50b81e019272f8535c9c0",1,13,2,1,14,0.0960698689956332
"55a2fa33fdf99b073cd94947","br",-11,-19,1,222,5500,228793,"64e50b81e019272f8535c9c0",1,-2,6,1,15,0.0495495495495495
"55a2fa33fdf99b073cd94947","pog",174,182,1,137,4316,271017,"64e50b81e019272f8535c9c0",1,0,0,1,1,37
"55a2fa33fdf99b073cd94947","pog",187,153,1,155,6796,277817,"64e50b81e019272f8535c9c0",1,0,0,1,2,32
"55a2fa33fdf99b073cd94947","pog",207,143,1,177,7122,284946,"64e50b81e019272f8535c9c0",1,0,0,1,3,30
"55a2fa33fdf99b073cd94947","pog",196,120,1,161,8000,292948,"64e50b81e019272f8535c9c0",1,0,0,1,4,35
"55a2fa33fdf99b073cd94947","pog",146,146,1,140,265,293217,"64e50b81e019272f8535c9c0",1,0,0,1,5,6
"55a2fa33fdf99b073cd94947","pog",224,140,1,191,6421,299641,"64e50b81e019272f8535c9c0",1,0,0,1,6,33
"55a2fa33fdf99b073cd94947","pog",207,181,1,179,4282,303929,"64e50b81e019272f8535c9c0",1,0,0,1,7,28
"55a2fa33fdf99b073cd94947","pog",171,153,1,142,7636,311569,"64e50b81e019272f8535c9c0",1,0,0,1,8,29
"55a2fa33fdf99b073cd94947","pog",207,187,1,174,4116,315689,"64e50b81e019272f8535c9c0",1,0,0,1,9,33
"55a2fa33fdf99b073cd94947","pog",207,137,1,176,5453,321146,"64e50b81e019272f8535c9c0",1,0,0,1,10,31
"55a2fa33fdf99b073cd94947","pog",182,116,1,156,6139,327289,"64e50b81e019272f8535c9c0",1,0,0,1,11,26
"55a2fa33fdf99b073cd94947","pog",158,124,1,130,5564,332857,"64e50b81e019272f8535c9c0",1,0,0,1,12,28
"55a2fa33fdf99b073cd94947","pog",201,125,1,174,6394,339258,"64e50b81e019272f8535c9c0",1,0,0,1,13,27
