"","task","resp","start","version","parA","rt","time_elapsed","sid","block","jitterX","jitterY","sub"
"22","br",-11,14,1,217,"null",153501,"64e50b81e019272f8535c9c0",0,-8,24,1
"23","br",25,25,1,234,"248",153753,"64e50b81e019272f8535c9c0",0,-30,8,1
"24","br",-16,20,1,250,"6444",160201,"64e50b81e019272f8535c9c0",0,-9,21,1
"25","br",-11,-13,1,251,"5289",165497,"64e50b81e019272f8535c9c0",0,-20,-18,1
"26","br",-9,-4,1,207,"6132",171634,"64e50b81e019272f8535c9c0",0,25,21,1
"27","br",-10,-11,1,276,"6019",177658,"64e50b81e019272f8535c9c0",0,-29,-11,1
"28","br",-13,-13,1,245,"4793",182457,"64e50b81e019272f8535c9c0",0,-3,-25,1
"29","br",-12,-4,1,245,"null",190462,"64e50b81e019272f8535c9c0",0,27,-29,1
"30","br",-10,-25,1,252,"7214",197682,"64e50b81e019272f8535c9c0",0,4,-7,1
"31","br",-11,16,1,284,"6739",204426,"64e50b81e019272f8535c9c0",0,-19,30,1
"32","br",-8,-15,1,220,"5233",209666,"64e50b81e019272f8535c9c0",0,-5,10,1
"33","br",-8,-16,1,210,"5612",215282,"64e50b81e019272f8535c9c0",0,-21,-22,1
"34","br",-12,10,1,232,"null",223285,"64e50b81e019272f8535c9c0",0,18,5,1
"35","br",-22,-22,1,229,"0",223290,"64e50b81e019272f8535c9c0",0,13,2,1
"36","br",-11,-19,1,222,"5500",228793,"64e50b81e019272f8535c9c0",0,-2,6,1
"42","pog",174,182,1,137,"4316",271017,"64e50b81e019272f8535c9c0",0,0,0,1
"43","pog",187,153,1,155,"6796",277817,"64e50b81e019272f8535c9c0",0,0,0,1
"44","pog",207,143,1,177,"7122",284946,"64e50b81e019272f8535c9c0",0,0,0,1
"45","pog",196,120,1,161,"null",292948,"64e50b81e019272f8535c9c0",0,0,0,1
"46","pog",146,146,1,140,"265",293217,"64e50b81e019272f8535c9c0",0,0,0,1
"47","pog",224,140,1,191,"6421",299641,"64e50b81e019272f8535c9c0",0,0,0,1
"48","pog",207,181,1,179,"4282",303929,"64e50b81e019272f8535c9c0",0,0,0,1
"49","pog",171,153,1,142,"7636",311569,"64e50b81e019272f8535c9c0",0,0,0,1
"50","pog",207,187,1,174,"4116",315689,"64e50b81e019272f8535c9c0",0,0,0,1
"51","pog",207,137,1,176,"5453",321146,"64e50b81e019272f8535c9c0",0,0,0,1
"52","pog",182,116,1,156,"6139",327289,"64e50b81e019272f8535c9c0",0,0,0,1
"53","pog",158,124,1,130,"5564",332857,"64e50b81e019272f8535c9c0",0,0,0,1
"54","pog",201,125,1,174,"6394",339258,"64e50b81e019272f8535c9c0",0,0,0,1
"55","pog",224,152,1,194,"6034",345297,"64e50b81e019272f8535c9c0",0,0,0,1
"56","pog",212,184,1,189,"4437",349738,"64e50b81e019272f8535c9c0",0,0,0,1
"64","eb",22,27,1,25,"4790",402642,"64e50b81e019272f8535c9c0",NA,0,0,1
"65","eb",26,31,1,30,"6374",409025,"64e50b81e019272f8535c9c0",NA,0,0,1
"66","eb",24,44,1,25,"7376",416410,"64e50b81e019272f8535c9c0",NA,0,0,1
"67","eb",27,48,1,30,"6149",422569,"64e50b81e019272f8535c9c0",NA,0,0,1
"68","eb",29,27,1,34,"7764",430338,"64e50b81e019272f8535c9c0",NA,0,0,1
"69","eb",49,45,1,51,"7102",437450,"64e50b81e019272f8535c9c0",NA,0,0,1
"70","eb",46,35,1,52,"6018",443474,"64e50b81e019272f8535c9c0",NA,0,0,1
"71","eb",31,36,1,34,"4120",447602,"64e50b81e019272f8535c9c0",NA,0,0,1
"72","eb",23,32,1,25,"6756",454362,"64e50b81e019272f8535c9c0",NA,0,0,1
"73","eb",32,25,1,34,"null",462366,"64e50b81e019272f8535c9c0",NA,0,0,1
"74","eb",36,36,1,52,"30",462402,"64e50b81e019272f8535c9c0",NA,0,0,1
"75","eb",44,36,1,47,"7899",470305,"64e50b81e019272f8535c9c0",NA,0,0,1
"76","eb",42,41,1,46,"5539",475849,"64e50b81e019272f8535c9c0",NA,0,0,1
