"","F1","F2","F3","F4","F5","F6","F7","Unique Var."
"Brentano 1",0.27,0,0,0,0,0.569,-0.073,0.477
"Brentano 2",-0.075,0,0,0,0,0.494,-0.007,0.539
"Ebbinghaus 1",0,0.621,0,0,0,0.251,0.16,0.246
"Ebbinghaus 2",0,0.625,0,0,0,0.354,-0.04,0.249
"Poggendorf 1",0,0,0.623,0,0,0.528,-0.012,0.393
"Poggendorf 2",0,0,0.565,0,0,0.508,0.066,0.342
"Ponzo 1",0,0,0,0.824,0,0.352,-0.011,0.194
"Ponzo 2",0,0,0,0.842,0,0.272,0.11,0.165
"Zöllner 1",0,0,0,0,0.588,0.574,0.011,0.321
"Zöllner 2",0,0,0,0,0.555,0.616,-0.042,0.298
"Prop. Var.",0.021,0.081,0.078,0.141,0.069,0.233,0.055,0.322
